"construct","power","power_global","gap_pp","est_sd","n_resp","rr_arm_a"
"minor",0.08,0.433333333333333,2.30212722230464,0.0305975684537023,1774.18,0.105
"norms",0.0933333333333334,0.433333333333333,2.30212722230464,0.0268107742581967,1774.18,0.105
"party_stigma",0.0933333333333333,0.433333333333333,2.30212722230464,-0.0319192062631485,1774.18,0.105
"turnout",0.16,0.433333333333333,2.30212722230464,0.0563708835274221,1774.18,0.105
"minor",0.2,0.813333333333333,3.73758243368384,0.0493673583079464,1917.7,0.12
"norms",0.193333333333333,0.813333333333333,3.73758243368384,0.0475298827465318,1917.7,0.12
"party_stigma",0.22,0.813333333333333,3.73758243368384,-0.0544088844562761,1917.7,0.12
"turnout",0.486666666666667,0.813333333333333,3.73758243368384,0.0942755377730252,1917.7,0.12
"minor",0.46,0.973333333333333,5.64979760847657,0.0718394713023862,2108.88666666667,0.14
"norms",0.42,0.973333333333333,5.64979760847657,0.0706694813676717,2108.88666666667,0.14
"party_stigma",0.466666666666667,0.973333333333333,5.64979760847657,-0.0757407891986219,2108.88666666667,0.14
"turnout",0.906666666666667,0.973333333333333,5.64979760847657,0.141569067196496,2108.88666666667,0.14
"minor",0.68,0.993333333333333,7.55868263225626,0.094048192134955,2299.74,0.16
"norms",0.62,0.993333333333333,7.55868263225626,0.0917705890178595,2299.74,0.16
"party_stigma",0.68,0.993333333333333,7.55868263225626,-0.0965926521021576,2299.74,0.16
"turnout",1,0.993333333333333,7.55868263225626,0.182906882585454,2299.74,0.16
"minor",0.833333333333333,1,9.46820231784127,0.111682178377073,2490.65333333333,0.18
"norms",0.833333333333333,1,9.46820231784127,0.112913171858082,2490.65333333333,0.18
"party_stigma",0.82,1,9.46820231784127,-0.11569156905015,2490.65333333333,0.18
"turnout",1,1,9.46820231784127,0.217803817863813,2490.65333333333,0.18
"minor",0.94,1,11.3827648947712,0.129135027028446,2682.07333333333,0.2
"norms",0.926666666666667,1,11.3827648947712,0.130140537745196,2682.07333333333,0.2
"party_stigma",0.926666666666667,1,11.3827648947712,-0.134375272012902,2682.07333333333,0.2
"turnout",1,1,11.3827648947712,0.251600998694669,2682.07333333333,0.2
