"scenario","construct","hypothesis","power_bh","power_two_sided","power_gradient","power_global","est_sd","se_sd","gap_pp","n_resp"
"base","turnout","H1",1,0.98,1,0.995,0.180076394521427,0.0437493483824582,7.5702240644471,2299.19
"base","minor","H3",0.685,0.58,0.975,0.995,0.0941164791095824,0.0419965670204118,7.5702240644471,2299.19
"base","party_stigma","H2",0.665,0.53,0.97,0.995,-0.0953047235321706,0.043569451596598,7.5702240644471,2299.19
"base","norms","H4",0.65,0.57,0.965,0.995,0.0953950132681653,0.0432717026570947,7.5702240644471,2299.19
"exclusion_break","minor","H3",1,1,1,1,0.228079077769777,0.0417690624810539,7.5702240644471,2299.19
"exclusion_break","norms","H4",1,1,1,1,0.226857530023559,0.0430516121224262,7.5702240644471,2299.19
"exclusion_break","turnout","H1",1,1,1,1,0.278555786763744,0.0435184581426971,7.5702240644471,2299.19
"exclusion_break","party_stigma","H2",0.01,0.09,0.39,1,0.027827000003059,0.0436036386976943,7.5702240644471,2299.19
"heavy_tails","turnout","H1",0.99,0.985,1,1,0.197734950572282,0.0442685946097091,7.53913734955226,2301.175
"heavy_tails","minor","H3",0.81,0.73,0.995,1,0.11274476354445,0.0420613157790557,7.53913734955226,2301.175
"heavy_tails","norms","H4",0.805,0.675,0.99,1,0.111143680142444,0.0433701064907163,7.53913734955226,2301.175
"heavy_tails","party_stigma","H2",0.61,0.51,0.98,1,-0.0913134184565411,0.0436697650114038,7.53913734955226,2301.175
"small_sample","turnout","H1",0.9,0.84,1,0.995,0.174273480837734,0.0523490036884979,7.54502086218669,1611.185
"small_sample","minor","H3",0.495,0.36,0.87,0.995,0.0910208799857842,0.0502244483088448,7.54502086218669,1611.185
"small_sample","norms","H4",0.48,0.37,0.87,0.995,0.091928198256001,0.0517284544872213,7.54502086218669,1611.185
"small_sample","party_stigma","H2",0.46,0.36,0.875,0.995,-0.0919450827520904,0.0520793863079188,7.54502086218669,1611.185
"three_arm","turnout","H1",0.96,0.915,1,0.995,0.167715145921148,0.0461281199208546,7.57239049182028,2358.71
"three_arm","minor","H3",0.565,0.43,0.965,0.995,0.0862222639638197,0.0444419678192634,7.57239049182028,2358.71
"three_arm","norms","H4",0.565,0.47,0.955,0.995,0.0882775652629702,0.0457837620181268,7.57239049182028,2358.71
"three_arm","party_stigma","H2",0.56,0.46,0.97,0.995,-0.0900162907970527,0.046091251479023,7.57239049182028,2358.71
"two_reminders","turnout","H1",0.71,0.57,1,0.935,0.119082158231056,0.0459067561664533,4.70275138063467,2012.36
"two_reminders","minor","H3",0.335,0.19,0.74,0.935,0.0611285824109278,0.0438460014815551,4.70275138063467,2012.36
"two_reminders","norms","H4",0.32,0.205,0.8,0.935,0.0646599627942052,0.0451353708773487,4.70275138063467,2012.36
"two_reminders","party_stigma","H2",0.305,0.19,0.775,0.935,-0.0633494332994099,0.045432110884926,4.70275138063467,2012.36
"weak_lift","turnout","H1",0.34,0.23,0.94,0.705,0.0804076339922627,0.0472940071643611,3.27098250619645,1869.245
"weak_lift","party_stigma","H2",0.165,0.1,0.53,0.705,-0.0434851630432019,0.0466375990803097,3.27098250619645,1869.245
"weak_lift","minor","H3",0.15,0.06,0.465,0.705,0.0441267098944156,0.04503652856949,3.27098250619645,1869.245
"weak_lift","norms","H4",0.145,0.105,0.485,0.705,0.0423205935676761,0.0463535473922644,3.27098250619645,1869.245
