"scenario","item","role","false_positive","rate_equivalent"
"base","valence2","clean",0.06,0.435
"base","lr","clean",0.055,0.425
"base","valence3","clean",0.05,0.385
"base","eu","clean",0.005,0.415
"base","therm_lew","indirect",0.06,0
"base","therm_ko","indirect",0.055,0
"base","licence","indirect",0.045,0.55
"base","valence1","indirect",0.045,0.53
"base","smoke","indirect",0.04,0.48
"exclusion_break","valence3","clean",0.65,0.045
"exclusion_break","valence2","clean",0.57,0.05
"exclusion_break","lr","clean",0.52,0.05
"exclusion_break","eu","clean",0.005,0.415
"exclusion_break","valence1","indirect",0.695,0.055
"exclusion_break","therm_lew","indirect",0.66,0
"exclusion_break","therm_ko","indirect",0.615,0
"exclusion_break","licence","indirect",0.045,0.55
"exclusion_break","smoke","indirect",0.04,0.48
"heavy_tails","valence2","clean",0.065,0.48
"heavy_tails","valence3","clean",0.065,0.455
"heavy_tails","lr","clean",0.035,0.4
"heavy_tails","eu","clean",0.03,0.455
"heavy_tails","smoke","indirect",0.09,0.48
"heavy_tails","valence1","indirect",0.07,0.535
"heavy_tails","therm_lew","indirect",0.055,0
"heavy_tails","licence","indirect",0.035,0.525
"heavy_tails","therm_ko","indirect",0.03,0
"small_sample","eu","clean",0.06,0.125
"small_sample","valence2","clean",0.045,0.165
"small_sample","lr","clean",0.04,0.18
"small_sample","valence3","clean",0.04,0.125
"small_sample","smoke","indirect",0.07,0.27
"small_sample","therm_ko","indirect",0.065,0
"small_sample","therm_lew","indirect",0.05,0
"small_sample","licence","indirect",0.04,0.31
"small_sample","valence1","indirect",0.03,0.235
"three_arm","valence2","clean",0.055,0.36
"three_arm","valence3","clean",0.055,0.315
"three_arm","lr","clean",0.05,0.345
"three_arm","eu","clean",0.045,0.385
"three_arm","valence1","indirect",0.06,0.425
"three_arm","therm_lew","indirect",0.045,0
"three_arm","smoke","indirect",0.04,0.39
"three_arm","therm_ko","indirect",0.04,0
"three_arm","licence","indirect",0.035,0.46
"two_reminders","valence3","clean",0.06,0.37
"two_reminders","lr","clean",0.055,0.35
"two_reminders","valence2","clean",0.04,0.385
"two_reminders","eu","clean",0.025,0.45
"two_reminders","therm_lew","indirect",0.06,0
"two_reminders","valence1","indirect",0.055,0.42
"two_reminders","licence","indirect",0.04,0.465
"two_reminders","smoke","indirect",0.035,0.44
"two_reminders","therm_ko","indirect",0.035,0
"weak_lift","valence3","clean",0.07,0.3
"weak_lift","lr","clean",0.05,0.335
"weak_lift","valence2","clean",0.035,0.325
"weak_lift","eu","clean",0.01,0.37
"weak_lift","licence","indirect",0.045,0.435
"weak_lift","smoke","indirect",0.045,0.39
"weak_lift","valence1","indirect",0.045,0.425
"weak_lift","therm_lew","indirect",0.04,0
"weak_lift","therm_ko","indirect",0.03,0
