"id","armA","armB","responded","female","age","agegrp","edu","town","camp"
1,0,1,0,0,51,"45-59","secondary","rural","none"
2,0,1,0,1,50,"45-59","secondary","town","opp"
3,1,0,1,0,28,"18-29","secondary","city","opp"
4,1,0,0,1,57,"45-59","secondary","town","none"
5,0,1,0,0,39,"30-44","higher","rural","opp"
6,1,0,0,1,52,"45-59","secondary","town","opp"
7,0,1,0,0,61,"60+","higher","town","none"
8,1,0,0,1,55,"45-59","higher","rural","none"
9,1,0,0,0,24,"18-29","higher","rural","opp"
10,1,0,0,1,29,"18-29","secondary","city","gov"
11,0,1,0,1,68,"60+","secondary","town","gov"
12,0,1,0,0,46,"45-59","secondary","rural","opp"
13,0,1,0,0,23,"18-29","secondary","town","gov"
14,0,1,0,1,39,"30-44","secondary","rural","gov"
15,0,1,1,0,36,"30-44","higher","rural","gov"
16,1,0,0,0,45,"45-59","higher","city","none"
17,0,1,0,1,34,"30-44","basic","town","gov"
18,0,1,0,0,55,"45-59","basic","town","gov"
19,1,0,1,0,43,"30-44","higher","rural","gov"
20,0,1,0,0,62,"60+","secondary","town","none"
21,1,0,0,1,27,"18-29","secondary","rural","none"
22,0,1,0,0,56,"45-59","secondary","town","none"
23,1,0,0,1,59,"45-59","secondary","town","gov"
24,0,1,0,1,71,"60+","secondary","town","opp"
25,1,0,1,1,78,"60+","secondary","city","none"
26,1,0,0,1,61,"60+","higher","city","gov"
27,1,0,0,0,30,"30-44","higher","rural","none"
28,0,1,1,0,42,"30-44","higher","city","gov"
29,1,0,0,1,60,"60+","basic","rural","gov"
30,1,0,0,1,32,"30-44","secondary","rural","none"
31,0,1,0,0,45,"45-59","higher","rural","none"
32,1,0,0,0,31,"30-44","higher","town","none"
33,0,1,0,1,51,"45-59","secondary","city","opp"
34,0,1,0,1,38,"30-44","higher","town","opp"
35,0,1,0,1,63,"60+","secondary","rural","none"
36,1,0,0,0,59,"45-59","basic","rural","opp"
37,0,1,0,0,35,"30-44","secondary","town","gov"
38,0,1,0,1,40,"30-44","higher","rural","opp"
39,0,1,0,1,56,"45-59","basic","rural","opp"
40,1,0,0,0,69,"60+","basic","rural","opp"
41,1,0,0,0,23,"18-29","secondary","rural","none"
42,0,1,0,1,66,"60+","secondary","rural","none"
43,0,1,0,0,33,"30-44","secondary","rural","opp"
44,0,1,0,0,56,"45-59","basic","town","gov"
45,1,0,0,1,31,"30-44","secondary","rural","none"
46,0,1,0,0,70,"60+","secondary","rural","opp"
47,1,0,0,0,57,"45-59","secondary","rural","gov"
48,1,0,0,0,27,"18-29","higher","rural","opp"
49,1,0,0,0,77,"60+","secondary","rural","opp"
