"item","estimator","est","se","rho","rho_se"
"turnout","Truth",0.49942,NA,0.334131224490085,0.0703650840039518
"turnout","Observed",0.695365915421626,0.00732499570511199,0.334131224490085,0.0703650840039518
"turnout","Raked (conventional)",0.689341100006654,0.00748392043125945,0.334131224490085,0.0703650840039518
"turnout","Heckman (instrument)",0.487793420980999,NA,0.334131224490085,0.0703650840039518
"partyS","Truth",0.19669,NA,-0.362340127769782,0.0915370936821128
"partyS","Observed",0.104076981514307,0.00485986403909777,-0.362340127769782,0.0915370936821128
"partyS","Raked (conventional)",0.100934287397151,0.00478703726487439,-0.362340127769782,0.0915370936821128
"partyS","Heckman (instrument)",0.251330377759281,NA,-0.362340127769782,0.0915370936821128
"minor","Truth",0.139512379622479,NA,0.284051271891426,0.0556800197552533
"minor","Observed",0.690976642410041,0.0171935983974384,0.284051271891426,0.0556800197552533
"minor","Raked (conventional)",0.635279188506424,0.0165228991717875,0.284051271891426,0.0556800197552533
"minor","Heckman (instrument)",0.177119363886774,NA,0.284051271891426,0.0556800197552533
"norms","Truth",0.084775980329959,NA,0.287212235342565,0.0560792372059255
"norms","Observed",0.626045077173862,0.016899751494951,0.287212235342565,0.0560792372059255
"norms","Raked (conventional)",0.593065242949657,0.0166552162336955,0.287212235342565,0.0560792372059255
"norms","Heckman (instrument)",0.122706411190869,NA,0.287212235342565,0.0560792372059255
"eu","Truth",0.76871,NA,0.0804673919935471,0.085360877245178
"eu","Observed",0.778931375031654,0.00660426637502731,0.0804673919935471,0.085360877245178
"eu","Raked (conventional)",0.771871274534818,0.00680913238424038,0.0804673919935471,0.085360877245178
"eu","Heckman (instrument)",0.732890403738712,NA,0.0804673919935471,0.085360877245178
"smoke","Truth",0.21941,NA,0.0522879751704433,0.0862332688463787
"smoke","Observed",0.218283109648012,0.00657425040684903,0.0522879751704433,0.0862332688463787
"smoke","Raked (conventional)",0.219903815624589,0.00667586554882606,0.0522879751704433,0.0862332688463787
"smoke","Heckman (instrument)",0.197814718142133,NA,0.0522879751704433,0.0862332688463787
